Label,MGRS/USNG,Lat,Long
Adult Camp,14R QU 85378 83292,30 32.833,-96 01.575
Alpha,14R QU 85583 83786,30 32.853,-96 01.458
Central Command,14R QU 85258 83403,30 32.982,-96 01.839
Charlie ,14R QU 85307 83684,30 33.086,-96 01.462
Entrance,14R QU 84906 83178,30 32.676,-96 01.466
Fence cross 1,14R QU 84929 83387,30 32.810,-96 01.601
Fence cross 2,14R QU 84968 83563,30 33.048,-96 01.298
Fence cross 3,14R QU 85279 83722,30 32.964,-96 01.481
Fence cross 4,14R QU 85448 83739,30 32.751,-96 01.583
Fence cross 5,14R QU 85484 83240,30 32.864,-96 01.673
Fence cross 6,14R QU 85465 83467,30 32.909,-96 01.594
Flag Pole,14R QU 85284 83260,30 33.062,-96 01.463
Foxtrot ,14R QU 85219 83559,30 33.200,-96 01.574
Gate 2,14R QU 84977 83663,30 32.842,-96 01.632
Gate 3,14R QU 85271 83524,30 33.014,-96 01.579
Gate 4,14R QU 85195 83202,30 33.094,-96 01.761
Gate 5,14R QU 85270 83867,30 33.034,-96 01.612
Gate 6,14R QU 85455 83616,30 32.872,-96 01.576
Kitchen,14R QU 85253 83328,30 32.981,-96 01.459
Lima,14R QU 85129 83242,30 32.858,-96 01.451
Mike,14R QU 85279 83037,30 33.128,-96 01.465
Parking,14R QU 85431 83435,30 33.121,-96 01.571
Romeo,14R QU 85720 83598,30 33.040,-96 01.768
Sierra,14R QU 85246 83145,30 32.945,-96 01.795
Tango,14R QU 85469 82903,30 32.833,-96 01.813
Water point,14R QU 85456 83662,30 33.100,-96 01.555
Whiskey,14R QU 84857 83453,30 32.949,-96 01.589
X-ray,14R QU 85473 83231,30 33.152,-96 01.380
Youth Camp,14R QU 85287 83188,30 32.887,-96 01.516
